_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,km,registration,year,address,status,previous_owners,transmission,fuel,fuel_consumption,emissions_gCO2/km,seller,Column 18,Column 19,Column 20
"ObjectId(""5eff3b6c156a97c639b6f8ee"")",c2788cd4-7eb9-46a2-95ce-051ed202fdc2,https://www.autoscout24.it/annunci/tesla-model-s-90d-ricariche-gratis-elettrica-blu-azzurro-c2788cd4-7eb9-46a2-95ce-051ed202fdc2?cldtidx=17&cldtsrc=listPage,Tesla Model S,90d ** RICARICHE GRATIS **,€ 65.000,73000,10/2016,2016,42,Usato,1,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",L.G.Auto Di Lucariello Luigi,IT,10010 Banchette - Torino - To,
"ObjectId(""5eff3b6c156a97c639b6f8ef"")",61c96ca8-3e60-3959-e053-0100007fa13f,https://www.autoscout24.it/annunci/estrima-biro-winter-100km-elettrica-bianco-61c96ca8-3e60-3959-e053-0100007fa13f?cldtidx=18&cldtsrc=listPage,Estrima Birò,WINTER 100Km,€ 8.000,10500,09/2017,2017,5,Usato,0,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Privato, ,IT,20144 Milano
"ObjectId(""5eff3b6c156a97c639b6f8f0"")",97989358-8e6f-4a90-a67d-84427c47c555,https://www.autoscout24.it/annunci/hyundai-kona-ev-64-kwh-xprime-elettrica-rosso-97989358-8e6f-4a90-a67d-84427c47c555?cldtidx=19&cldtsrc=listPage,Hyundai Kona,EV 64 kWh XPrime,€ 34.000,0,-/- (Anno),-,38,Nuovo,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Auto Smile Srl,IT,26826 Secugnago - Lodi,
"ObjectId(""5eff3b6c156a97c639b6f8f1"")",8d383c9a-7716-4251-98b6-7ff8ab87a741,https://www.autoscout24.it/annunci/nissan-leaf-elettrico-sincrono-trifase-elettrica-argento-8d383c9a-7716-4251-98b6-7ff8ab87a741?cldtidx=20&cldtsrc=listPage,Nissan Leaf,Elettrico Sincrono Trifase,€ 9.900,111100,03/2013,2013,110,Usato,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Ferri Auto Spa,IT,31020 Lancenigo di Villorba TV,
"ObjectId(""5eff3b6c156a97c639b6f8f2"")",08683842-e127-47e7-bde0-b2e8f2020eda,https://www.autoscout24.it/annunci/renault-kangoo-z-e-4p-express-climatizzatore-elettrica-bianco-08683842-e127-47e7-bde0-b2e8f2020eda?cldtidx=16&cldtsrc=listPage,Renault Kangoo Z.E.,4p. Express - CLIMATIZZATORE,€ 5.200,33000,11/2014,2014,60,Usato,1,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 2""]",Mastercar Srl,IT,33010 Tavagnacco - Udine - Ud,
"ObjectId(""5eff3b6c156a97c639b6f8f3"")",91657225-f8d1-401f-ba7c-9d153347cf6a,https://www.autoscout24.it/annunci/hyundai-kona-ev-64-kwh-xprime-safety-pack-elettrica-grigio-91657225-f8d1-401f-ba7c-9d153347cf6a?cldtidx=1&cldtsrc=listPage,Hyundai Kona,EV 64 kWh XPrime + SAFETY PACK,€ 31.950,0,-/- (Anno),-,38,Nuovo,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Mittelcar 2 Srl,IT,33010 Cassacco - Udine - Ud,
"ObjectId(""5eff3b6c156a97c639b6f8f4"")",8d205b92-71d2-41aa-b0f1-e0713d1296a7,https://www.autoscout24.it/annunci/kia-soul-e-style-suv-pack-64-kwh-elettrica-8d205b92-71d2-41aa-b0f1-e0713d1296a7?cldtidx=2&cldtsrc=listPage,Kia Soul,e-Style SUV Pack 64 kWh,€ 37.450,0,-/- (Anno),-,20,Nuovo,0,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",De Bona Motors Susegana,IT,31058 Susegana - Treviso - Tv,
"ObjectId(""5eff3b6c156a97c639b6f8f5"")",85f395cc-9d21-4608-bf55-04df24af5fc1,https://www.autoscout24.it/annunci/kia-soul-e-style-suv-pack-64-kwh-elettrica-85f395cc-9d21-4608-bf55-04df24af5fc1?cldtidx=3&cldtsrc=listPage,Kia Soul,e-Style SUV Pack 64 kWh,€ 37.450,0,-/- (Anno),-,20,Nuovo,0,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",De Bona Motors Belluno,IT,32100 Belluno - Bl,
"ObjectId(""5eff3b6c156a97c639b6f8f6"")",e98664a8-77d4-ad78-e053-0100007f148b,https://www.autoscout24.it/annunci/tesla-model-s-elettrica-nero-e98664a8-77d4-ad78-e053-0100007f148b?cldtidx=4&cldtsrc=listPage,Tesla Model S,,€ 64.900,68000,10/2016,2016,42,Usato,0,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Privato, ,IT,10040 leini
"ObjectId(""5eff3b6c156a97c639b6f8f7"")",1d805fce-a628-4614-9599-d3f84e697146,https://www.autoscout24.it/annunci/volkswagen-up-82-cv-batterie-non-a-noleggio-elettrica-marrone-1d805fce-a628-4614-9599-d3f84e697146?cldtidx=5&cldtsrc=listPage,Volkswagen up!,82 CV BATTERIE NON A NOLEGGIO !!!!,€ 11.550,9900,05/2015,2015,82,Aziendale,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Tecnicar Di Malavasi Andrea,IT,41012 Carpi - Modena - Mo,
"ObjectId(""5eff3b6c156a97c639b6f8f8"")",e00a3694-1936-4ded-adcc-b4fe031d7c23,https://www.autoscout24.it/annunci/renault-zoe-intens-r90-flex-elettrica-blu-azzurro-e00a3694-1936-4ded-adcc-b4fe031d7c23?cldtidx=6&cldtsrc=listPage,Renault ZOE,Intens R90 Flex,€ 12.950,47480,03/2017,2017,59,Usato,1,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Cella Automobili & Co. Srl,IT,24010 Sorisole - Bg,
"ObjectId(""5eff3b6c156a97c639b6f8f9"")",4c19f7bd-d096-4676-86dc-b7dca167fd99,https://www.autoscout24.it/annunci/volkswagen-golf-e-zero-emission-elettrica-grigio-4c19f7bd-d096-4676-86dc-b7dca167fd99?cldtidx=7&cldtsrc=listPage,Volkswagen Golf,e- ZERO EMISSION,€ 22.650,10,-/- (Anno),-,13,Nuovo,0,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Martignoni Srl,Responsabile Vendite,IT,
"ObjectId(""5eff3b6c156a97c639b6f8fa"")",e7ada404-31e2-41b8-8460-4284b57af5b9,https://www.autoscout24.it/annunci/mini-cooper-se-xl-elettrica-nero-e7ada404-31e2-41b8-8460-4284b57af5b9?cldtidx=9&cldtsrc=listPage,MINI Cooper,SE XL,€ 32.400,100,04/2020,2020,17,Usato,1,Automatico,Elettrica,"14,8 l/100 km (comb.) 3","0 g CO2/km (comb.) 3""]",AUTOTORINO SPA,IT,26100 Cremona - Cr,
"ObjectId(""5eff3b6c156a97c639b6f8fb"")",e5227eac-a36f-4ec9-99c0-2d12f3a1fbd6,https://www.autoscout24.it/annunci/renault-kangoo-express-z-e-44-kwh-60cv-elettrico-iva-elettrica-bianco-e5227eac-a36f-4ec9-99c0-2d12f3a1fbd6?cldtidx=10&cldtsrc=listPage,Renault Kangoo,Express Z.E. 44 Kwh 60CV – ELETTRICO - IVA,€ 6.900,6000,06/2014,2014,60,Usato,1,Automatico,Elettrica,-/- (l/100 km),0 g CO2/km (comb.) 3,"17,8 kWh/100 km (comb.) 3""]",Emme Motors Srl,IT,20099 Sesto San Giovanni - Milano - Mi
"ObjectId(""5eff3b6c156a97c639b6f8fc"")",e9062db0-a5fd-499e-9f0c-82298b99a645,https://www.autoscout24.it/annunci/renault-kangoo-z-e-express-z-e-44-kwh-60cv-elettrico-iva-elettrica-bianco-e9062db0-a5fd-499e-9f0c-82298b99a645?cldtidx=11&cldtsrc=listPage,Renault Kangoo Z.E.,Express Z.E. 44 Kwh 60CV – ELETTRICO - IVA,€ 6.900,6000,06/2014,2014,60,Usato,1,Automatico,Elettrica,-/- (l/100 km),0 g CO2/km (comb.) 3,"17,8 kWh/100 km (comb.) 3""]",Emme Motors Srl,IT,20099 Sesto San Giovanni - Milano - Mi
"ObjectId(""5eff3b6c156a97c639b6f8fd"")",57cc8260-4669-49fa-a1f2-bbc631f58b04,https://www.autoscout24.it/annunci/renault-zoe-intens-r135-flex-elettrica-rosso-57cc8260-4669-49fa-a1f2-bbc631f58b04?cldtidx=8&cldtsrc=listPage,Renault ZOE,Intens R135 Flex,€ 20.100,0,-/- (Anno),-,13,Nuovo,0,-/- (Tipo di cambio),Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",G & G Paglini Spa,Federica Nanni,IT,
"ObjectId(""5eff3b6c156a97c639b6f8fe"")",4564d935-5325-4c01-95e3-f89db657be3f,https://www.autoscout24.it/annunci/toyota-auris-1-8-hsd-5-porte-executive-hybrid-c-aut-elettrica-nero-4564d935-5325-4c01-95e3-f89db657be3f?cldtidx=12&cldtsrc=listPage,Toyota Auris,1.8 HSD 5 porte Executive HYBRID C.Aut,€ 6.400,112098,12/2010,2010,100,Usato,0,Automatico,Elettrica,4 l/100 km (comb.) 3,93 g CO2/km (comb.) 3,"4 kWh/100 km (comb.) 3""]",Lazzari Auto,IT,26866 Cornegliano Laudense - Lodi - Lo
"ObjectId(""5eff3b6c156a97c639b6f8ff"")",f6b6532c-6c0d-4d75-9452-807f12f51044,https://www.autoscout24.it/annunci/smart-fortwo-electric-drive-greenflash-edition-navi-touch-pacc-elettrica-nero-f6b6532c-6c0d-4d75-9452-807f12f51044?cldtidx=13&cldtsrc=listPage,smart forTwo,"ELECTRIC DRIVE GREENFLASH EDITION ""NAVI TOUCH/PACC",€ 14.900,42500,07/2017,2017,85,Aziendale,1,Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Autoindustriale Srl,IT,39100 Bolzano - Bz,
