_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,vehicle_data,seller,country,address
ObjectId("5eff3b6c156a97c639b6f7d1"),9ecff5fd-46ec-4e73-b04c-369a1e6191aa,https://www.autoscout24.it/annunci/smart-forfour-w453-eq-elettrica-nero-9ecff5fd-46ec-4e73-b04c-369a1e6191aa?cldtidx=11&cldtsrc=listPage,smart forFour,W453 - EQ,€ 21.300,- 12,"["- km","02/2019","62 kW (84 CV)","Aziendale","-/- (Proprietari)","Manuale","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Delta Motors Spa,IT,60131 Ancona – An
ObjectId("5eff3b6c156a97c639b6f7d2"),b24178cd-d4d5-4809-a9ee-868eac29b432,https://www.autoscout24.it/annunci/peugeot-208-e-100kw-5-porte-gt-elettrica-blu-azzurro-b24178cd-d4d5-4809-a9ee-868eac29b432?cldtidx=12&cldtsrc=listPage,Peugeot 208,e- 100kW 5 porte GT,€ 31.500,- 12,"["100 km","01/2020","100 kW (136 CV)","Aziendale","-/- (Proprietari)","Manuale","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Auto In Srl,IT,84025 Eboli - Salerno - Sa
ObjectId("5eff3b6c156a97c639b6f7d3"),f1b8c75c-9e6c-4f0a-bd69-34eeb5decac3,https://www.autoscout24.it/annunci/bmw-330-g20-330e-luxury-elettrica-grigio-f1b8c75c-9e6c-4f0a-bd69-34eeb5decac3?cldtidx=13&cldtsrc=listPage,BMW 330,(G20) 330e Luxury,€ 57.500,- 2,"["1 km","12/2019","135 kW (184 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","1,6 l/100 km (comb.) 3","37 g CO2/km (comb.) 3"]",Maldarizzi Srl - Maldarizzi Automobili,IT,70100 Bari - Ba
ObjectId("5eff3b6c156a97c639b6f7d4"),840a31f2-1788-4942-a703-0045347c7751,https://www.autoscout24.it/annunci/toyota-rav-4-2-5-hv-218cv-e-cvt-2wd-dynamic-elettrica-grigio-840a31f2-1788-4942-a703-0045347c7751?cldtidx=14&cldtsrc=listPage,Toyota RAV 4,2.5 HV (218CV) E-CVT 2WD Dynamic,€ 31.312,- 12,"["- km","02/2020","130 kW (177 CV)","KM0","-/- (Proprietari)","Automatico","Elettrica","4,6 l/100 km (comb.) 3","0 g CO2/km (comb.) 3"]",Marino Automobili dal 1953,IT,70100 Bari
ObjectId("5eff3b6c156a97c639b6f7d5"),4adf4b34-101a-45ee-829d-289b76cf7a49,https://www.autoscout24.it/annunci/renault-zoe-life-r110-flex-elettrica-rosso-4adf4b34-101a-45ee-829d-289b76cf7a49?cldtidx=15&cldtsrc=listPage,Renault ZOE,Life R110 Flex,€ 16.000,- 12,"["100 km","06/2020","80 kW (109 CV)","KM0","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Rigoni - Franceschetti Srl,IT,36016 Thiene - Vicenza - Vi
ObjectId("5eff3b6c156a97c639b6f7d6"),2d31b6a0-247d-4159-af43-c0af43980def,https://www.autoscout24.it/annunci/hyundai-ioniq-electric-ev-28-kwh-style-elettrica-bianco-2d31b6a0-247d-4159-af43-c0af43980def?cldtidx=16&cldtsrc=listPage,Hyundai Ioniq,Electric EV 28 kWh Style,€ 17.900,- 2,"["- km","06/2018","25 kW (34 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Fiorauto Di Fior Luca,IT,33017 Tarcento - Udine - UD
ObjectId("5eff3b6c156a97c639b6f7d7"),bb92515c-b9a0-4910-8b84-b1500a25c751,https://www.autoscout24.it/annunci/peugeot-ion-elettrica-blu-azzurro-bb92515c-b9a0-4910-8b84-b1500a25c751?cldtidx=17&cldtsrc=listPage,Peugeot iOn,,€ 16.500,- 12,"["- km","-/- (Anno)","- kW (- CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Sportauto Srl,IT,73020 Cavallino - Lecce - Le
ObjectId("5eff3b6c156a97c639b6f7d8"),5ba60735-13d8-452d-a7fa-89c82874e656,https://www.autoscout24.it/annunci/hyundai-ioniq-1-6-hybrid-dct-comfort-plus-pack-led-unico-prop-elettrica-bianco-5ba60735-13d8-452d-a7fa-89c82874e656?cldtidx=18&cldtsrc=listPage,Hyundai Ioniq,1.6 HYBRID DCT COMFORT PLUS-PACK LED UNICO PROP,€ 18.300,- 12,"["17.000 km","05/2018","77 kW (105 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","3,9 l/100 km (comb.) 3","92 g CO2/km (comb.) 3"]",Autobaselli Srl,IT,25027 Quinzano d'Oglio - Brescia - Bs
ObjectId("5eff3b6c156a97c639b6f7d9"),86a09b89-c67d-47d1-96af-a3a4816c24a6,https://www.autoscout24.it/annunci/ds-automobiles-ds-3-crossback-e-tense-business-elettrica-nero-86a09b89-c67d-47d1-96af-a3a4816c24a6?cldtidx=19&cldtsrc=listPage,DS Automobiles DS 3 Crossback,E-Tense Business,€ 30.000,- 12,"["- km","-/- (Anno)","57 kW (77 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",DS Store Cisa2000,IT,40131 Bologna - BO
ObjectId("5eff3b6c156a97c639b6f7da"),b6909371-2dd3-4ce1-9054-9bdbbc7414e7,https://www.autoscout24.it/annunci/renault-kangoo-z-e-4p-express-aut-ok-neoptatentati-elettrica-bianco-b6909371-2dd3-4ce1-9054-9bdbbc7414e7?cldtidx=20&cldtsrc=listPage,Renault Kangoo,Z.E. 4p. Express Aut. - Ok Neoptatentati,€ 7.100,- 12,"["15.755 km","11/2014","44 kW (60 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 3"]",Rossi Ecocar Srl Unipersonale,IT,06034 Foligno - Perugia - Pg
ObjectId("5eff3b6c156a97c639b6f7db"),2a2ee4a0-9192-4bf9-895f-f8301596a091,https://www.autoscout24.it/annunci/opel-corsa-corsa-e-elegance-elettrica-blu-azzurro-2a2ee4a0-9192-4bf9-895f-f8301596a091?cldtidx=2&cldtsrc=listPage,Opel Corsa,corsa-e Elegance,€ 25.450,- 12,"["- km","-/- (Anno)","100 kW (136 CV)","Nuovo","-/- (Proprietari)","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",De Bona Motors Rovigo,IT,45100 Rovigo - Ro
ObjectId("5eff3b6c156a97c639b6f7dc"),c18bdbb5-6202-48af-a2f2-a41d1208a6b3,https://www.autoscout24.it/annunci/opel-corsa-corsa-e-elegance-elettrica-blu-azzurro-c18bdbb5-6202-48af-a2f2-a41d1208a6b3?cldtidx=3&cldtsrc=listPage,Opel Corsa,corsa-e Elegance,€ 25.450,- 12,"["- km","-/- (Anno)","100 kW (136 CV)","Nuovo","-/- (Proprietari)","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",De Bona Motors Padova,IT,35127 Padova - Pd
ObjectId("5eff3b6c156a97c639b6f7dd"),1f01a22f-79a1-486f-a74a-452e27f54db2,https://www.autoscout24.it/annunci/opel-corsa-corsa-e-elegance-elettrica-blu-azzurro-1f01a22f-79a1-486f-a74a-452e27f54db2?cldtidx=4&cldtsrc=listPage,Opel Corsa,corsa-e Elegance,€ 25.450,- 12,"["- km","-/- (Anno)","100 kW (136 CV)","Nuovo","-/- (Proprietari)","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",De Bona Motors Castelfranco V.to,IT,31033 Castelfranco Veneto – Treviso
ObjectId("5eff3b6c156a97c639b6f7de"),5cdd77d3-75f4-42ea-b426-882b882b5015,https://www.autoscout24.it/annunci/renault-kangoo-z-e-4p-express-elettrica-bianco-5cdd77d3-75f4-42ea-b426-882b882b5015?cldtidx=1&cldtsrc=listPage,Renault Kangoo,Z.E. 4p. Express,€ 8.500,- 12,"["10.500 km","05/2015","44 kW (60 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Ferretti Automotive srl,IT,42019 Arceto - Reggio Emilia
ObjectId("5eff3b6c156a97c639b6f7df"),eab1b7d4-20cc-4546-a769-188647f2a789,https://www.autoscout24.it/annunci/mini-cooper-se-3p-full-electric-versione-l-elettrica-argento-eab1b7d4-20cc-4546-a769-188647f2a789?cldtidx=5&cldtsrc=listPage,MINI Cooper,SE 3p Full Electric Versione L,€ 41.105,- 12,"["- km","-/- (Anno)","135 kW (184 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Tullo Pezzo srl,IT,46100 San Giorgio - Mantova - MN
ObjectId("5eff3b6c156a97c639b6f7e0"),2f84d7ff-5e23-47cb-b057-940e9ade154b,https://www.autoscout24.it/annunci/volkswagen-up-e-5p-elettrica-nero-2f84d7ff-5e23-47cb-b057-940e9ade154b?cldtidx=6&cldtsrc=listPage,Volkswagen up!,e- 5p,€ 11.500,- 2,"["33.468 km","02/2015","60 kW (82 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Eurocar Firenze – Centro Usato Firenze,IT,50145 Firenze
ObjectId("5eff3b6c156a97c639b6f7e1"),020e85cc-b0c1-4133-a324-e1f5cf3a6b72,https://www.autoscout24.it/annunci/audi-e-tron-sb-50-313cv-q-s-line-edition-elettrica-nero-020e85cc-b0c1-4133-a324-e1f5cf3a6b72?cldtidx=7&cldtsrc=listPage,Audi e-tron,SB 50 313CV Q. S Line Edition,€ 86.400,- 12,"["- km","-/- (Anno)","158 kW (215 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Vicentini Spa - Audi Zentrum Verona,IT,37139 Verona - Vr
ObjectId("5eff3b6c156a97c639b6f7e2"),63c965a9-022e-bd6a-e053-0100007f832a,https://www.autoscout24.it/annunci/tesla-model-s-85d-autopilot-1-4x4-free-supercharger-elettrica-nero-63c965a9-022e-bd6a-e053-0100007f832a?cldtidx=8&cldtsrc=listPage,Tesla Model S,85D, AUTOPILOT 1, 4X4, FREE SUPERCHARGER,€ 54.000,- 1,"["150.000 km","03/2016","135 kW (184 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Privato, ,IT,50100 Firenze
